Timeline,Start time,Duration,Row,Instance number,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,Fouled,Goalkeeper Actions,Offsides,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,Turnover,Ungrouped,Notes,Flags
INDIVIDUAL',47.25666667,14,Deven Jackson,1,,,,,,,,,,Complete,,Backwards,,,,,,,,,,
INDIVIDUAL',90.25794677,14,Deven Jackson,2,,,,,,,,,,Complete,,Around,Seam 2,,,,,,,,,
INDIVIDUAL',102.7237034,14,Deven Jackson,3,,,,,,,,,,,,,,,,,,,Turnover,,,
INDIVIDUAL',111.0889682,14,Deven Jackson,4,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',143.2762255,14,Deven Jackson,5,,,,,Ground Duel +,,,,,,,,,,,,,,,,,
INDIVIDUAL',178.3523717,14,Deven Jackson,6,,,,,,,,,,"Complete, Complete",,"Neutral, Neutral","Seam 2, Seam 3",,,,,,,,,
INDIVIDUAL',181.4355888,14,Deven Jackson,7,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',188.2888286,14,Deven Jackson,8,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,
INDIVIDUAL',455.6100243,14,Deven Jackson,9,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,
INDIVIDUAL',761.8911388,14,Deven Jackson,10,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,
INDIVIDUAL',778.694927,14,Deven Jackson,11,,,,,INTERCEPTION +,,,,,Complete,,Backwards,,,,,,,,,,
INDIVIDUAL',915.4362938,14,Deven Jackson,12,,,,,,,,,,Complete,,Neutral,,,,,,,Turnover,,,
INDIVIDUAL',1091.80412,14,Deven Jackson,13,,,,,,,,,,Incomplete,,Around,Seam 1,,,,,,,,,
INDIVIDUAL',1114.229469,14,Deven Jackson,14,,,,,,,,,,Incomplete,,Through,Seam 2,,,,,,,,,
INDIVIDUAL',1124.260253,14,Deven Jackson,15,,,,,,,,,,,,,Below,,,SL Zone ONE C,,"SHOT ON TARGET, SHOT",,,,
INDIVIDUAL',1305.684749,14,Deven Jackson,16,,,,,,,,,,Complete,,Through,Seam 2,,,,,,,,,
INDIVIDUAL',1540.413105,14,Deven Jackson,17,,,,,,,,,,,,,,,,SL Gold Zone,,SHOT,,,,
INDIVIDUAL',1589.716858,14,Deven Jackson,18,,,,,,,,,,Complete,,Around,Seam 2,,,,,,,,,
INDIVIDUAL',1718.98552,14,Deven Jackson,19,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',1728.865147,14,Deven Jackson,20,,,,,,,,,,,,,Below,,,,,,,,,
INDIVIDUAL',1759.287355,14,Deven Jackson,21,,,,,,,,,,Complete,,Neutral,,,,,,,,,,
INDIVIDUAL',1786.885152,14,Deven Jackson,22,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',1798.692998,14,Deven Jackson,23,,,,,,,,,Pass into box,Complete,Complete,Through,Seam 1,,,,,,,,,
INDIVIDUAL',1869.266328,14,Deven Jackson,24,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',1894.302303,14,Deven Jackson,25,,,,,,,,,,,,,,,,,,,Turnover,,,
INDIVIDUAL',1924.031153,14,Deven Jackson,26,,,,,,,,,,Complete,,Backwards,,,,,,SHOT ASSIST,,,,
INDIVIDUAL',2095.887791,14,Deven Jackson,27,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,
INDIVIDUAL',2104.552413,14,Deven Jackson,28,CD Gold Zone,CO Zone XAL,Teammate Found,Floated,,,,,,,,,Seam 3,,,,,,,,,
INDIVIDUAL',2271.071836,14,Deven Jackson,29,,,,,,,,,,Complete,,Through,,,,,,,,,,
INDIVIDUAL',2279.121903,14,Deven Jackson,30,CD Gold Zone,CO Zone 00 R,Teammate Found,Cut Back,,,,,Pass into F3,,Complete,,,Assist,,,,SHOT ASSIST,,,,
INDIVIDUAL',2397.369358,14,Deven Jackson,31,,,,,,,,,,,,,Seam 3,,,SL Gold Zone,,"SHOT ON TARGET, SHOT",,,,
INDIVIDUAL',2449.738296,14,Deven Jackson,32,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',2500.187855,14,Deven Jackson,33,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',2766.252035,14,Deven Jackson,34,,,,,,,,,,,,,,,,SL Zone 00 L,,SHOT,,,,
INDIVIDUAL',2816.5879,14,Deven Jackson,35,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',2837.14623,14,Deven Jackson,36,,,,,,,,,,Incomplete,,Through,Neutral,,,,,,,,,
INDIVIDUAL',2854.24402,14,Deven Jackson,37,,,,,,,,,,Complete,,Backwards,,,,,,,,,,
INDIVIDUAL',2963.281015,14,Deven Jackson,38,,,,,,,,,,Incomplete,,Around,Seam 1,,,,,,,,,
INDIVIDUAL',3016.125245,14,Deven Jackson,39,,,,,INTERCEPTION +,,,,,,,,,,,SL Zone 00 L,,SHOT,,,,
INDIVIDUAL',3221.77752,14,Deven Jackson,40,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',3226.950518,14,Deven Jackson,41,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',3427.40263,14,Deven Jackson,42,,,,,,,,,,Complete,,Around,Seam 1,,,,,,,,,
INDIVIDUAL',3454.113012,14,Deven Jackson,43,,,,,,,,,Pass into box,Complete,Complete,Around,Seam 2,,,,,,,,,
INDIVIDUAL',3707.001641,14,Deven Jackson,44,,,,,,,,,Pass into box,Complete,Complete,Around,Seam 2,,,,,,,,,
INDIVIDUAL',3803.401802,14,Deven Jackson,45,,,,,,,,,,Complete,,Backwards,,,,,,SHOT ASSIST,,,,
INDIVIDUAL',3863.84708,14,Deven Jackson,46,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',3993.023578,14,Deven Jackson,47,,,,,,,,,,,,,,,,SL Zone THREE C,,SHOT,,,,
INDIVIDUAL',4373.132753,14,Deven Jackson,48,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',4478.951953,14,Deven Jackson,49,,,,,,,,,,Complete,,Backwards,,,,,,,,,,
INDIVIDUAL',4548.964281,14,Deven Jackson,50,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,
INDIVIDUAL',4589.058017,14,Deven Jackson,51,,,,,,,,,,Complete,,Backwards,Seam 3,,,,,,,,,
INDIVIDUAL',4702.055542,14,Deven Jackson,52,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',4857.589542,14,Deven Jackson,53,,,,,,,,,,Complete,,Neutral,Seam 2,,,,,,,,,
INDIVIDUAL',5149.563306,14,Deven Jackson,54,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',5201.811524,14,Deven Jackson,55,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,
INDIVIDUAL',47.25666667,14,Kelli Brown,1,,,,,,,,,,Complete,,Neutral,,,,,,,,,,
INDIVIDUAL',98.33076647,14,Kelli Brown,2,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',101.3156922,14,Kelli Brown,3,,,,,,,,,,Complete,,Neutral,Seam 2,,,,,,,,,
INDIVIDUAL',137.538112,14,Kelli Brown,4,,,,,Ground Duel -,,,,,,,,,,,,,,,,,
INDIVIDUAL',144.445086,14,Kelli Brown,5,,,,,INTERCEPTION +,,,,,,,,,,,SL Zone TWO C,,SHOT,,,,
INDIVIDUAL',328.3586376,14,Kelli Brown,6,,,,,,,,,,,,,,Goal,,SL Black Box,,"SHOT ON TARGET, SHOT",,,,
INDIVIDUAL',579.0825202,14,Kelli Brown,7,,,,,,,,,,,,,,,,SL Black Box,,SHOT,,,,
INDIVIDUAL',679.4129471,14,Kelli Brown,8,,,,,,,,,,Incomplete,,Around,Seam 2,,,,,,,,,
INDIVIDUAL',905.4242746,14,Kelli Brown,9,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',1027.413986,14,Kelli Brown,10,,,,,,,,,,Complete,,Backwards,,,,,,,,,,
