Timeline,Start time,Duration,Row,Instance number,CROSSING,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,FIRST PHASE,Fouled,Goalkeeper Actions,OFFSIDE,Offsides,PEN AREA ENTRY,POSSESSION THIRDS,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,SECOND PHASE,SHOOTING,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,TRANSITION,Turnover,Ungrouped,Notes,Flags
Individual XML,665.3610317446145,14.0,Deven Jackson,1,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,1215.5265871230158,14.0,Deven Jackson,2,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,Seam 2,,,,,,,,,,,,
Individual XML,1248.7165759537982,14.0,Deven Jackson,3,,,,,,Ground Duel -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,1520.8849543480726,14.0,Deven Jackson,4,,,,,,,,,,,,,,,,,,,,,,,SL Gold Zone,,SHOT,,,,,
Individual XML,1739.0566439852607,14.0,Deven Jackson,5,,,,,,,,,,,,,,,Complete,,Around,,,,,,,,,,,,,
Individual XML,1749.6166439696713,14.0,Deven Jackson,6,,CD Gold Zone,CO Zone XAL,Teammate Found,Whipped,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
Individual XML,2040.3949773200113,13.999999999999773,Deven Jackson,7,,,,,,,,,,,Offside,,,,,,,,,,,,,,,,,,,
Individual XML,2122.0249432851474,14.0,Deven Jackson,8,,,,,,,,,,,,,,,Complete,,Neutral,Seam 2,,,,,,,,,,,,
Individual XML,2142.314931892007,14.0,Deven Jackson,9,,,,,,,,,,,,,,,,,,Seam 3,,,,,SL Gold Zone,,"SHOT ON TARGET, SHOT",,,,,
Individual XML,2306.1413945578233,14.0,Deven Jackson,10,,,,,,Ground Duel +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,2604.7066213081066,14.0,Deven Jackson,11,,,,,,,,,,,Offside,,,,,,,,,,,,,,,,,,,
Individual XML,2750.619330939626,14.0,Deven Jackson,12,,,,,,Ground Duel -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,3106.343333334,14.0,Deven Jackson,13,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,3113.033321995465,14.0,Deven Jackson,14,,,,,,,,,,,,,,,,,,,,,,,SL Gold Zone,,SHOT,,,,,
Individual XML,3318.766666666667,14.0,Deven Jackson,15,,,,,,Aerial Duel -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,3403.245,14.0,Deven Jackson,16,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,SHOT ASSIST,,,,,
Individual XML,3779.371961451247,14.0,Deven Jackson,17,,,,,,,,,,,,,,,Complete,,Backwards,Seam 3,,,,,,,,,,,,
Individual XML,3794.311961451247,14.0,Deven Jackson,18,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,3867.0919614512472,14.0,Deven Jackson,19,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,3896.9883333333332,14.0,Deven Jackson,20,,,,,,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,,,,
Individual XML,4882.963321975623,14.0,Deven Jackson,21,,,,,,,,,,,,,,,,,,Seam 2,,,,,,,,,TURNOVER,,,
Individual XML,4949.443321619898,14.0,Deven Jackson,22,,,,,,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
Individual XML,4952.563321602891,14.0,Deven Jackson,23,,,,,,,,,,,,,,Pass into box,Incomplete,Incomplete,Through,,,,,,,,,,,,,
Individual XML,5161.373299247449,14.0,Deven Jackson,24,,,,,,,,,,,,,,,,,,,,,,,SL Black Box,,SHOT,,,,,
Individual XML,5230.023231252834,14.0,Deven Jackson,25,,,,,,INTERCEPTION +,,,,,,,,Pass into F3,Complete,Complete,Around,,,,,,,,,,,,,
Individual XML,666.2010317446145,14.0,Rebekah Stott,1,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,776.1033219954649,14.0,Rebekah Stott,2,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,781.7433219954648,14.0,Rebekah Stott,3,,,,,,,,,,,,,,,Incomplete,,Through,Seam 1,,,,,,,,,,,,
